NIKE INC,"DATA SCIENTIST, INTEGRATED ANALYTICS","120,000","BEAVERTON, OR",07/29/2014,08/18/2014,CERTIFIED
NIKE USA INC,DEMAND PLANNER LEAD,"100,000","BEAVERTON, OR",12/16/2016,01/03/2017,CERTIFIED
NIKE INC,DESIGN DIRECTOR WOMENS,"147,290","BEAVERTON, OR",12/18/2017,12/21/2017,CERTIFIED
NIKE INC,DESIGN LEAD - NIKE GLOBAL FOOTBALL,"160,000","BEAVERTON, OR",08/04/2015,08/17/2015,CERTIFIED
NIKE INC,DESIGNER I INNOVATION,"72,810","BEAVERTON, OR",10/13/2014,01/16/2015,CERTIFIED
NIKE INC,"DESIGNER II, VISUAL DISPLAY DESIGN","100,000","BEAVERTON, OR",02/13/2014,03/03/2014,CERTIFIED
NIKE RETAIL SERVICES INC,"DESIGNER II, VISUAL DISPLAY DESIGN","103,010","BEAVERTON, OR",01/25/2016,02/01/2016,CERTIFIED
NIKE INC,DEVELOPMENT DIRECTOR,"133,744","BEAVERTON, OR",01/24/2014,02/10/2014,CERTIFIED
NIKE USA INC,DIGITAL BRAND MANAGER - NIKE SPORTSWEAR,"76,600","BEAVERTON, OR",03/01/2016,03/07/2016,CERTIFIED
NIKE INC,DIGITAL COMMERCE SR. ANALYST,"103,875","BEAVERTON, OR",11/10/2015,12/01/2015,CERTIFIED
NIKE INC,DIGITAL FINANCE MANAGER,"85,420","BEAVERTON, OR",05/01/2017,05/04/2017,CERTIFIED
NIKE INC,DIGITAL INNOVATOR,"100,000","BEAVERTON, OR",03/14/2014,09/12/2014,CERTIFIED
NIKE INC,DIGITAL QUALITY MANAGEMENT LEAD,"110,000","BEAVERTON, OR",10/28/2013,11/04/2013,CERTIFIED
NIKE INC,DIGITAL QUALITY MANAGEMENT LEAD - MOBILE TEST EXEC,"110,000","BEAVERTON, OR",02/12/2014,02/24/2014,CERTIFIED
NIKE INC,DIGITAL QUALITY MANAGEMENT LEAD-MOBILE TEST EXECUTION,"116,710","BEAVERTON, OR",12/21/2016,01/09/2017,CERTIFIED
NIKE INC,DIRECTOR - SAP PLATFORM ENGINEERING,"139,060","BEAVERTON, OR",10/23/2014,11/05/2014,CERTIFIED
NIKE INC,DIRECTOR / INNOVATION ARTISAN,"177,820","BEAVERTON, OR",07/31/2014,10/02/2014,CERTIFIED
NIKE USA INC,DIRECTOR BRAND MARKETING NIKE SPORTSWEAR,"150,000","NEW YORK, NY",11/08/2017,11/21/2017,CERTIFIED
NIKE INC,DIRECTOR FLYKNIT R&D,"147,158","BEAVERTON, OR",03/12/2014,05/24/2014,CERTIFIED
NIKE USA INC,DIRECTOR MERCHANT NORTH AMERICA FOOTLOCKER LEAD & FOOTWEAR,"175,060","BEAVERTON, OR",09/08/2016,11/18/2016,CERTIFIED
NIKE INC,DIRECTOR OF DATA DESIGN & ARCHITECTURE,"215,000","BEAVERTON, OR",11/16/2017,11/27/2017,CERTIFIED
NIKE INC,DIRECTOR OF FINANCE TECHNOLOGY,"149,070","BEAVERTON, OR",08/15/2017,08/25/2017,CERTIFIED
NIKE INC,DIRECTOR OF PRODUCT FOR RETAIL FINANCE,"149,070","BEAVERTON, OR",11/16/2017,11/27/2017,CERTIFIED
NIKE INC,DIRECTOR OF USER ACQUISITIONS,"215,000","BEAVERTON, OR",07/11/2017,07/24/2017,CERTIFIED
NIKE INC,"DIRECTOR, EMERGING CONSUMER TRENDS AND INNOVATION","155,000","BEAVERTON, OR",10/27/2017,11/10/2017,CERTIFIED
NIKE INC,"DIRECTOR, GLOBAL BRAND MARKETING, WOMEN'S TRAINING","133,515","BEAVERTON, OR",05/23/2016,06/06/2016,CERTIFIED
